This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:17:15,154 INFO /home/anisha/.local/bin/bench new-site erpnext1.com
2022-09-13 12:17:15,154 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:18:37,600 INFO /home/anisha/.local/bin/bench new-site erpnext1.com
2022-09-13 12:18:37,600 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:18:57,864 INFO /home/anisha/.local/bin/bench new-site erp.com
2022-09-13 12:18:57,864 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:19:53,467 INFO /home/anisha/.local/bin/bench new-site erpnext.com
2022-09-13 12:19:53,468 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:20:08,798 INFO /home/anisha/.local/bin/bench get-app payments
2022-09-13 12:20:08,798 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:20:09,057 LOG Getting payments
2022-09-13 12:20:09,058 DEBUG cd ./apps && git clone https://github.com/frappe/payments.git  --depth 1 --origin upstream
2022-09-13 12:20:10,337 LOG Installing payments
2022-09-13 12:20:10,468 DEBUG cd /home/anisha/erpnext_projects/version_14/frappe-bench && /home/anisha/erpnext_projects/version_14/frappe-bench/env/bin/python -m pip install --quiet --upgrade -e /home/anisha/erpnext_projects/version_14/frappe-bench/apps/payments 
2022-09-13 12:20:14,045 DEBUG bench build --app payments
2022-09-13 12:20:14,195 INFO /home/anisha/.local/bin/bench build --app payments
2022-09-13 12:20:24,726 INFO /home/anisha/.local/bin/bench get-app hrms
2022-09-13 12:20:24,726 WARNING bench is installed in editable mode!

This is not the recommended mode of installation for production. Instead, install the package from PyPI with: `pip install frappe-bench`

2022-09-13 12:20:25,210 LOG Getting hrms
2022-09-13 12:20:25,210 DEBUG cd ./apps && git clone https://github.com/frappe/hrms.git  --depth 1 --origin upstream
2022-09-13 12:20:27,851 LOG Installing hrms
2022-09-13 12:20:27,993 DEBUG cd /home/anisha/erpnext_projects/version_14/frappe-bench && /home/anisha/erpnext_projects/version_14/frappe-bench/env/bin/python -m pip install --quiet --upgrade -e /home/anisha/erpnext_projects/version_14/frappe-bench/apps/hrms 
2022-09-13 12:20:30,292 DEBUG bench build --app hrms
2022-09-13 12:20:30,428 INFO /home/anisha/.local/bin/bench build --app hrms
